County,ProjectNam,ProjectDev,ProjectOwn,State,State_Coun,County__St,PopDensity,Household_,View_Score,Latitude,Longitude,Capacity,CurrentPha,TimelineDa,OnlyCancel,Artificial,OperatingD,PhaseHisto,field_15_1,field_16_1,field_17_1,field_18_1,field_19_1,field_20_1,field_21_1,field_22_1,field_23_1,field_24_1,field_25_1,field_26_1,field_27_1,field_28_1,field_29_1,field_30_1,field_31_1,field_32_1,lr_tif,H_L_W,Google_Sentiment,standard_dev,variance,Sign_Google,members_env,Canceled
Deer Lodge,CHillWindFarm,Exergy Integrated Systems,Exergy Integrated Systems,Montana,Montana - Deer Lodge County,"Deer Lodge County, Montana",12.6,39212,35,46.1219,-112.9486,19.2,Canceled,605,Yes,No,No,Canceled:6/30/2014,Postponed:4/29/2014,Proposed:1/18/2013,Postponed:11/20/2012,Proposed:11/2/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,72,1
Dekalb,NexteraDekalbCountyWind,FPL Energy Illinois Wind,FPL Energy Illinois Wind,Illinois,Illinois - Dekalb County,"Dekalb County, Illinois",166.6,56076,120,41.8252,-88.8728,225,Operating,335,No,No,No,Operating:11/30/2014,Operating:12/31/2009,Testing:12/1/2009,Under Const:7/5/2009,Permitted:6/18/2009,App Pending:2/17/2009,Proposed:1/30/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,0,NA,NA,NA,0,0
Dekalb,HawthorneWindProject,Infinity Wind Power,Infinity Wind Power,Missouri,Missouri - Dekalb County,"Dekalb County, Missouri",30.6,43538,13,40.034,-94.4208,100,Canceled,1554,Yes,No,No,Canceled:12/11/2017,Proposed:9/9/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,0,1
Dekalb,OsbornWindEnergyCenter,Osborn Wind Energy,Osborn Wind Energy,Missouri,Missouri - Dekalb County,"Dekalb County, Missouri",30.6,43538,83,39.7892,-94.422,200,Operating,2487,No,No,No,Operating:12/16/2016,Under Const:5/1/2016,Proposed:4/8/2016,Canceled:10/28/2013,Postponed:6/1/2013,Proposed:2/24/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,0.3764705882352941,1.7483844624254004,3.0568482284505563,Positive,0,0
Dekalb,LostCreekRidgeWindFarm,Lost Creek Wind,Lost Creek Wind,Missouri,Missouri - Dekalb County,"Dekalb County, Missouri",30.6,43538,41,39.9963,-94.4831,150,Operating,411,No,No,No,Operating:5/31/2010,Under Const:7/13/2009,Proposed:4/15/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,0,NA,NA,NA,0,0
Delaware,ElkWindFarm,Elk Wind Energy,Elk Wind Energy,Iowa,Iowa - Delaware County,"Delaware County, Iowa",30.7,59452,68,42.5862,-91.362,41.25,Operating,1252,No,No,No,Operating:12/5/2011,Testing:10/1/2011,Under Const:5/2/2011,Site Prep:12/15/2010,Proposed:7/1/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,0,NA,NA,NA,7608,0
Delaware,GWEDelawareCounty,GWE,Mason Wind,Iowa,Iowa - Delaware County,"Delaware County, Iowa",30.7,59452,65,42.489,-91.225,6.39,Canceled,915,Yes,No,No,Canceled:9/30/2017,Postponed:1/4/2017,Proposed:3/30/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,7608,1
Deuel,TatankaRidge,Avangrid Renewables,Avangrid Renewables,South Dakota,South Dakota - Deuel County,"Deuel County, South Dakota",7,54781,40,44.592,-96.576,98,Under Const,549,No,Yes,No,Under Const:11/29/2017,Proposed:5/1/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,1.2415458937198067,1.4594407402931109,2.1299672744273037,Positive,40,0
Deuel,BuffaloRidgeIII,Buffalo Ridge III,Buffalo Ridge III,South Dakota,South Dakota - Deuel County,"Deuel County, South Dakota",7,54781,76,44.6182,-96.6249,170,Canceled,773,Yes,No,No,Canceled:8/29/2012,App Pending:3/11/2011,Proposed:7/18/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0.7700348432055749,1.9307422442149234,3.7277656135960786,Positive,40,1
Dewey,ViciWindFarm,Vici Wind Farm,Vici Wind Farm,Oklahoma,Oklahoma - Dewey County,"Dewey County, Oklahoma",4.8,51654,51,36.01,-98.925,104.4,App Pending,1504,No,Yes,No,App Pending:12/31/2015,Proposed:9/19/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,18,0
Dewey,PreludeEagleButteWindFarm,Prelude,Prelude,South Dakota,South Dakota - Dewey County,"Dewey County, South Dakota",2.3,40585,37,45.006,-101.128,45,Canceled,1290,Yes,No,No,Canceled:6/29/2017,Postponed:8/18/2016,Proposed:12/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,18,1
Dewey,SeilingWindIProject,Seiling Wind,Seiling Wind,Oklahoma,Oklahoma - Dewey County,"Dewey County, Oklahoma",4.8,51654,53,36.0125,-98.9273,198.9,Operating,456,No,No,No,Operating:12/31/2014,Under Const:1/30/2014,Proposed:10/1/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,18,0
Dewey,TalogaWind,Taloga Wind,Taloga Wind,Oklahoma,Oklahoma - Dewey County,"Dewey County, Oklahoma",4.8,51654,28,35.8691,-98.9228,129.6,Operating,967,No,No,No,Operating:7/1/2011,Testing:6/1/2011,Under Const:1/11/2010,Proposed:11/6/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,0,NA,NA,NA,18,0
Dewey,PreludeRidgeviewWindFarm,Prelude,Prelude,South Dakota,South Dakota - Dewey County,"Dewey County, South Dakota",2.3,40585,18,45.078,-100.807,79.5,Canceled,1413,Yes,No,No,Canceled:10/30/2017,Postponed:6/1/2017,Proposed:12/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,18,1
Dewey,SeilingWindIIProject,Seiling Wind II,Seiling Wind II,Oklahoma,Oklahoma - Dewey County,"Dewey County, Oklahoma",4.8,51654,93,36.101,-98.9273,100.3,Operating,170,No,No,No,Operating:12/31/2014,Proposed:7/14/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,18,0
Dewey,PreludeIsabellWindFarm,Prelude,Prelude,South Dakota,South Dakota - Dewey County,"Dewey County, South Dakota",2.3,40585,34,45.452,-101.369,42,Canceled,602,Yes,No,No,Canceled:8/11/2015,Proposed:12/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,18,1
